SLIDE_NO,STATE,DISTRICT,TOPOSHEET,SLIDE_NAME,"NH_SH 
LOCATION",LATITUDE,LONGITUDE,LENGTH,WIDTH,HEIGHT,LS_AREA,DEPTH,"LANDSLIDE ALERT
 CATEGORY",VOLUME,"RUN_OUT_
DISTANCE","MATERIAL 
TYPE","MOVEMENT 
TYPE","MOVEMENT 
RATE",ACTIVITY,DISTRIBUTION,STYLE,"FAILURE 
PLANE","FAILURE 
MECHANISM","INITIATION 
YEAR","REACTIVATION 
YEAR1","REACTIVATION 
YEAR2","REACTIVATION 
YEAR3",GEOMORPHOLOGY,GEOLOGY,STRUCTURE,"LANDUSE 
LANDCOVER",HYDROLOGICAL,"TRIGGERING 
FACTOR","PERSONS 
DEATH","PEOPLE 
AFFECTED","LIVESTOCK 
AFFECTED","COMMUNICATION 
AFFECTED","INFRASTRUCTURE 
AFFECTED","LANDUSE 
LANDCOVER 
AFFECTED",GEOSCIENTIFIC_CAUSES,"PRE-REMEDIAL 
MEASURES",REMARKS,Citation,REPORT,PHOTOS,ABSTRACT,,,
HP/CHA/52D3/2019/69,Himachal Pradesh,Chamba,52D03,,Ghatarla village,32.28460,76.17611,80.00,40.00,70.00,,0-1m,III,,260.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2016.00,,,,Moderately Dissected,Sandstone and Shale,,Densely vegetated,Damp,Sudden Toe Removal,Nill,,,,,,"Toe cutting by nala
Weatherd rock exposed on steep slope",Slope easing and proper drainage alignment from crown portion,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/52D3/2019/70,Himachal Pradesh,Kangra,52D03,Boh,Boh,32.30089,76.19212,70.00,50.00,60.00,,0-1m,III,,5.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2014.00,,,,Moderately Dissected,Sandstone and Shale,,Moderately vegetated,Damp,Road Cutting,Nill,,,Part of road damaged,,,"Road cutting
Differiential weathering",Retaining wall required with sufficient weep holes,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/98,Himachal Pradesh,Chamba,52D03,,Sahlu village,32.36634,76.01475,50.00,30.00,45.00,,2-5m,III,,130.00,Debris,Slide,Rapid,Active,Enlarging,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,Mudstone,,Agriculture,Damp,Sudden Toe Removal,Nill,,,,,Cultivation on crown damaged,Toe erosion by nala,"proper toe support, Benching of slope",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/99,Himachal Pradesh,Chamba,52D03,,Godra village,32.37460,76.01878,110.00,40.00,100.00,,2-5m,III,,50.00,Debris,Slide,Rapid,Active,Retrogressive,Multiple,shallow,Shallow planar failure,,,,,Moderately Dissected,Phyllite,,Sparsely vegetated,Damp,Sudden Toe Removal,Nill,,,,,Agricultural land,"Toe erosion by nala
Steep slope","Drainage diversion from crown portion, Slope easing",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/100,Himachal Pradesh,Chamba,52D03,,Kasba Raipur,32.38606,76.01388,55.00,24.00,50.00,,0-0.5m,III,,120.00,Rock and Debris,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Phyllite,,Sparsely vegetated,Damp,Sudden Toe Removal,Nill,,,,,,"Toe cutting by nala, loose material on steep slope",,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/161,Himachal Pradesh,Chamba,43P15,,"Barala, Lahru road",32.40175,75.94762,40.00,30.00,35.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2017.00,,,,Moderately Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Road Cutting & Slope cut,Nill,,,Part of road block,,,Road cutting,Removal of loose material from affected slope.Retaining wall required with sufficient weep holes,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/107,Himachal Pradesh,Chamba,52D03,,Along Chakki river,32.39158,76.00162,25.00,13.00,20.00,,0-1m,III,,15.00,Rock,Slide,Rapid,Reactivated,Retrogressive,Single,shallow,Shallow planar failure,2013 monsoon,2018 monsoon,,,Moderately Dissected,Phyllite,,Sparsely vegetated,Damp,Sudden Toe Removal,Nill,,,,,,Weathered rock exposed on slope,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/127,Himachal Pradesh,Chamba,43P15,Taragarh,Taragarh,32.42112,75.95502,10.00,8.00,8.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,2017.00,,,,Lowly Dissected,mudstone with sandstone,,Sparsely vegetated,Damp,Rainfall,Nill,,,Part of road damaged,,,Road cutting,Retaining wall of suitable size and dimension required,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/128,Himachal Pradesh,Chamba,43P15,,Taragarh,32.42123,75.95518,8.00,10.00,7.00,,0-1m,III,,1.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,2017.00,,,,Lowly Dissected,mudstone with sandstone,,Sparsely vegetated,Damp,Rainfall,Nill,,,,,,Road cutting,Retaining wall of suitable size and dimension required,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/52D3/2019/71,Himachal Pradesh,Kangra,52D03,,Near Boh Village,32.30550,76.17328,50.00,50.00,45.00,,0-0.5m,III,,130.00,Debris,Slide,Rapid,Reactivated,Confined,Single,shallow,Shallow planar failure,2017.00,,,,Moderately Dissected,Phyllite,Jwalamukhi thrust passing nearby,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Road cutting
Toe cutting by nala","proper toe support, Drainage alignment",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/129,Himachal Pradesh,Chamba,43P15,,Taragarh,32.42684,75.95252,40.00,28.00,35.00,,0-1m,III,,50.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Lowly Dissected,mudstone with sandstone,,Sparsely vegetated,Damp,Rainfall,Nill,,,,,,"Weathered rock  exposed on steep slope, road cut",Removal of loose exposed material from slope,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/130,Himachal Pradesh,Chamba,43P15,,Taragarh,32.42894,75.95307,20.00,10.00,18.00,,0-1m,III,,2.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2017.00,,,,Lowly Dissected,sandstone,,Sparsely vegetated,Damp,Rainfall,Nill,,,,,, road cutting,Retaining wall with sufficient weep holes,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/131,Himachal Pradesh,Chamba,43P15,,Taragarh,32.42919,75.95330,30.00,8.00,25.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Widening,Single,shallow in upslope and deep seated in down slope,Shallow planar failure,2018.00,,,,Lowly Dissected,mudstone with sandstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Weathered rock  exposed on slope, road cut",Retaining wall with sufficient weep holes,"Proper toe support as per site condition, removal of precarious boulders",,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/72,Himachal Pradesh,Chamba,52D03,,Pukhru Jangal,32.30281,76.15016,37.00,10.00,35.00,,2-3m,III,,40.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Lowly Dissected,Slate,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,Loose debris saturation by rainfall,Loose debris removal,"slope easing, Retaining wall of suitable size",,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/76,Himachal Pradesh,Chamba,52D03,,Pukhru Jangal,32.30138,76.14812,17.00,10.00,15.00,,0-1m,III,,2.00,Debris,Slide,Rapid,Active,Widening,Single,shallow,Shallow planar failure,2015.00,,,,Lowly Dissected,Phyllite,,Sparsely vegetated,Damp,Road Cutting,Nill,,,,,,Extensive slope cut,Loose debris removal,Retaing wall as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/77,Himachal Pradesh,Chamba,52D03,,Pukhru Jangal,32.30077,76.14772,35.00,15.00,30.00,,0-1m,III,,6.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2010.00,,,,Lowly Dissected,Sandstone with mudstone,,Sparsely vegetated,Damp,Road Cutting,Nill,,,,,,Extensive slope cut,Loose debris removal,Proper toe support as per site condition,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/79,Himachal Pradesh,Chamba,52D03,,Dulara,32.29263,76.14337,75.00,50.00,70.00,,>5m,III,,220.00,Soil,Slide,Rapid,Active,Widening,Multiple,shallow,Deep rotational failure,2015.00,,,,Lowly Dissected,Mudstone with sandstone,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,Toe erosion by nala,,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/155,Himachal Pradesh,Chamba,43P15,, Chinian,32.40498,75.97357,70.00,30.00,60.00,,2-3m,III,,12.00,Debris,Slide,Rapid,Active,Retrogressive,Multiple,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,Pebbly conglomerate with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Loose conglomerate & mudstone got over saturated, Toe cutting by nala",,Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/105,Himachal Pradesh,Chamba,52D03,,Near Sahlu village,32.38711,76.00022,36.00,10.00,30.00,,0-0.5m,III,,5.00,Rock and Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Highly Dissected,Conglomerate and mudstone,,Densely vegetated,Damp,Road Cutting,Nill,,,Part of road damaged,,,"Loose debris saturation by rainfall, debris exposure on road cut","Proper toe support, removal of loose material",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/156,Himachal Pradesh,Chamba,43P15,,"Barala, Lahru road",32.40853,75.96380,30.00,15.00,25.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,pebbly conglomerate with mudstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,partially road affected,,,road cutting and incessant rainfall,Removal of loose material from steep  slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/157,Himachal Pradesh,Chamba,43P15,,"Barala, Lahru road",32.40729,75.95987,15.00,12.00,14.00,,0-0.5m,III,,3.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,conglomerate with mudstone,,Sparsely vegetated,Wet,Road Cutting,Nill,,,partially road affected,,,road cutting and incessant rainfall,Slope easing,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/158,Himachal Pradesh,Chamba,43P15,,"Barala, Lahru road",32.40676,75.96022,50.00,16.00,45.00,,0-0.5m,III,,10.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2015.00,,,,Moderately Dissected,pebbly conglomerate with mudstone,,Sparsely vegetated,Damp,Road Cutting,Nill,,,,,,Toe cutting by nala and incessant rainfall,Removal of loose material from slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/159,Himachal Pradesh,Chamba,43P15,,"Barala, Lahru road",32.40668,75.96115,75.00,45.00,70.00,,0-0.5m,III,,60.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2018.00,,,,Moderately Dissected,pebbly conglomerate with mudstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,Toe cutting by nala and incessant rainfall, Retaining wall of suitable size and dimension with sufficient weep holes,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/160,Himachal Pradesh,Chamba,43P15,,"Barala, Lahru road",32.40312,75.94831,70.00,20.00,60.00,,0-1m,III,,5.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2018.00,,,,Moderately Dissected,conglomerate with mudstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,road cutting and incessant rainfall,Removal of loose material from slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/80,Himachal Pradesh,Chamba,43P15,,Bakloh Cant,32.46742,75.92883,9.00,7.00,5.00,,0-0.5m,III,,2.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2017.00,,,,Lowly Dissected,Sandstone with mudstone,,Moderately vegetated,Damp,Rainfall,Nill,,,,,,"Incessant rainfall
road cutting","Retaining wall of suitable size and dimension required with sufficient weep holes,Proper drainage alignement from crown portion",Proper toe support,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/182,Himachal Pradesh,Kangra,44M13,,Ban Bilwan,31.94717,75.93125,30.00,16.00,24.00,,0-1m,III,,7.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2017.00,,,,Moderately Dissected,Varigated mudstone with sandstone,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,Excess Rainfall and road cutting,"Proper drainage algnment,Removal of  weathered material from slope",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
